woord afkap
' '
'k 'k
'n 'n
's 's
't 't
'van 'van
- -
-as -as
-bloed -bloed
aaklig aak-lig
aan aan
��n ��n
aanbid aan-bid
aanbidd'lik aan-bidd'lik
aanbiddelike aan-bid-de-li-ke
aanbiddend aan-bid-dend
aanbidding aan-bid-ding
aand aand
aandag aan-dag
aandrif aan-drif
aangedaan aan-ge-daan
aangedoen aan-ge-doen
aangedring aan-ge-dring
aangedryf aan-ge-dryf
aangegord aan-ge-gord
aangegryp aan-ge-gryp
aangekant aan-ge-kant
aangekleef aan-ge-kleef
aangekom aan-ge-kom
aangeloop aan-ge-loop
aangesig aan-ge-sig
aangesluit aan-ge-sluit
aangespoor aan-ge-spoor
aangesteek aan-ge-steek
aangestorm aan-ge-storm
aangesweef aan-ge-sweef
aangeswewe aan-ge-swe-we
aangetrek aan-ge-trek
aangewaai aan-ge-waai
aangewakker aan-ge-wak-ker
aangord aan-gord
aangroei aan-groei
aanhoor aan-hoor
aanklag aan-klag
aankom aan-kom
aanlig aan-lig
aanloklikheid aan-lok-lik-heid
aanroep aan-roep
aansien aan-sien
aansit aan-sit
aanskou aan-skou
aanskou- aan-skou-
aanskouer aan-skou-er
aanskouing aan-skou-ing
aanskyn aan-skyn
aanstap aan-stap
aanstem aan-stem
aanstigters aan-stig-ters
aanstorm aan-storm
aansweef aan-sweef
aanswel aan-swel
aansyn aan-syn
aantree aan-tree
aanvaar aan-vaar
aanval aan-val
aanvalsmag aan-vals-mag
aard aard
aard' aard'
aardbreedte aard-breed-te
aarde aarde
aarde-u aarde-u
aardryk aar-d-ryk
aardse aard-se
a�ron a�ron
aartsregter aarts-reg-ter
aas aas
abraham abra-ham
abrams abrams
adder ad-der
adders ad-ders
ademtog adem-tog
af af
afbreek af-breek
afgaan af-gaan
afgegly af-ge-gly
afgekondig af-ge-kon-dig
afgele� af-ge-le�
afgemeet af-ge-meet
afgemete af-ge-me-te
afgesloofe af-ge-sloofe
afgesny af-ge-sny
afgesonder af-ge-son-der
afgevlo� af-ge-vlo�
afgeweer af-ge-weer
afgewend af-ge-wend
afgewys af-ge-wys
afglans af-glans
afgod af-god
afgodsbeeld af-gods-beeld
afgodsdiens af-gods-diens
afgodshoof af-gods-hoof
afgodsnaam af-godsnaam
afgrond af-grond
afguns af-guns
afkerig af-ke-rig
afsku af-sku
afskuw'lik af-skuw'lik
afskuw'likhede af-skuw'lik-he-de
afstraal af-straal
aftrek af-trek
afvallig af-val-lig
afvalligheid af-val-lig-heid
afwesendheid af-we-send-heid
afwyk af-wyk
ag ag
agter ag-ter
agteraan ag-te-raan
agterklap ag-terklap
agterlaat ag-ter-laat
agterveld ag-ter-veld
agterwaarts ag-ter-waarts
agting ag-ting
akker ak-ker
akkerland ak-ker-land
akkers ak-kers
al al
�l �l
�l �l
aldeur al-deur
alewee ale-wee
alho� al-ho�
alkant al-kant
alle al-le
�lle �l-le
alleen al-leen
alleenheid al-leen-heid
alleenlik al-leen-lik
allerbeste al-ler-bes-te
allerfynste al-lerfyn-ste
allerhoogste al-ler-hoog-ste
allermees al-ler-mees
allerrykste al-ler-ryk-ste
allersuiwerste al-ler-sui-wer-ste
allerswaarste al-lers-waar-ste
allerswartste al-ler-swart-ste
allerverste al-ler-ver-ste
alles al-les
almag al-mag
almagsdade al-mags-da-de
almagsmerke al-magsmer-ke
almagsvleuel al-mags-vleu-el
almagtig almag-tig
almal al-mal
alom alom
alreeds al-reeds
altaar al-taar
altaardiere al-taar-die-re
altaarvure al-taar-vu-re
altare al-tare
alte al-te
altesaam al-te-saam
altoos alt-oos
altyd al-tyd
�ltyd �l-tyd
altyd-selfde al-tyd-self-de
altyddeur al-tyd-deur
alvermo� al-ver-mo�
alvermo�nd al-ver-mo�nd
alwys al-wys
alwyse al-wy-se
amalek ama-lek
amen amen
ammon am-mon
amp amp
amper am-per
ander an-der
anders an-ders
angs angs
angsroep angs-roep
angste ang-ste
angstig-nou angs-tig-nou
angsverlede angs-ver-le-de
antwoord ant-woord
appel ap-pel
arbeid ar-beid
arbeidsplig ar-beidsplig
arendsjeug arendsjeug
arglistig arg-lis-tig
ark ark
arm arm
arme ar-me
arme-en arme-en
armes ar-mes
arms arms
aron aron
arons arons
arremsvol ar-rems-vol
as as
asem asem
asemhaal asem-haal
asof asof
assur as-sur
asyn asyn
awend awend
awendtranse awend-tran-se
ba�l-peors ba�l-peors
baan baan
baard baard
baat baat
babel ba-bel
baie baie
balling bal-ling
ballingskap bal-ling-skap
balsemgeur balsem-geur
balsemlugte balsem-lug-te
band band
bande ban-de
bang bang
bange ban-ge
bangighede ban-gig-he-de
banningsoord ban-ningsoord
banningsoorde ban-ningsoor-de
bare ba-re
baring ba-ring
barmhartig barm-har-tig
barmhartighede barm-har-tig-he-de
barmhartigheid barm-har-tig-heid
barre bar-re
basan ba-san
basans ba-sans
basanstiere ba-sanstie-re
basuine ba-sui-ne
basuingeklank ba-suin-ge-klank
beangstig be-angs-tig
bebloede be-bloe-de
bed bed
bedag be-dag
bedags be-dags
bedagsaam be-dag-saam
beddings bed-dings
bede be-de
bedek be-dek
bedel be-del
bedelbrood be-del-brood
bederwe be-der-we
bedink be-dink
bedolwe be-dol-we
bedou be-dou
bedreig be-dreig
bedrieg be-drieg
bedrieglik be-drieg-lik
bedringer be-drin-ger
bedroef be-droef
bedrog be-drog
bedruk be-druk
bedryf be-dryf
bedstee bed-stee
bedwelm be-dwelm
bedwing be-dwing
bee bee
beef beef
beek beek
beeld beeld
beelde beel-de
beelt'nis beelt'nis
been been
been're been're
beend're beend're
beendere been-de-re
be�rf be-�rf
be�rwe be-�r-we
beeste bees-te
begaan be-gaan
begeef be-geef
begeer be-geer
begeerlik be-geer-lik
begelei be-ge-lei
begenadig be-ge-na-dig
begewe be-ge-we
begin be-gin
begrawe be-gra-we
begroet be-groet
behaag be-haag
behaaglik be-haag-lik
behae be-ha-e
behae-in be-hae-in
behoed be-hoed
behoeder be-hoe-der
behoeftig be-hoef-tig
behoort be-hoort
behou be-hou
behoudenis be-hou-de-nis
behoue be-houe
bejeen be-jeen
beje�n be-je�n
bekeer be-keer
beken be-ken
bekend be-kend
bekendes be-ken-des
beker be-ker
bekering be-ke-ring
beklee be-klee
bekleed be-kleed
beklem be-klem
beklemd be-klemd
beklemming be-klem-ming
bekommerd be-kom-merd
bekommernis be-kom-mer-nis
bekoor be-koor
bekroon be-kroon
belaag be-laag
belag be-lag
belaster be-las-ter
beleef be-leef
bele�r be-le�r
beleid be-leid
belet be-let
beloer be-loer
belofte be-lof-te
beloftenis be-lof-te-nis
beloftes be-lof-tes
beloftewoord be-lof-te-woord
beloning be-lo-ning
beloof be-loof
beloofde be-loof-de
beloon be-loon
belus be-lus
bely be-ly
bemerk be-merk
bemin be-min
bemind be-mind
bemindes be-min-des
beminnaars be-min-naars
bemoedig be-moe-dig
benard be-nard
bende ben-de
bendes ben-des
bene be-ne
benede be-nede
benjamin be-n-ja-min
benoud be-noud
benoude be-nou-de
benoudheid be-noud-heid
benoudheids-uur be-noud-heids-uur
benouenis be-nou-e-nis
benouing be-nou-ing
bepaal be-paal
bepeins be-peins
bepeinsing be-pein-sing
beproef be-proef
beraam be-raam
beraamde be-raam-de
berei be-rei
berg berg
berge ber-ge
bergetop ber-ge-top
berging ber-ging
bergkrans berg-krans
bergland berg-land
bergrots berg-rots
bergwaarts berg-waarts
bergwand berg-wand
bergwerk berg-werk
bergwind berg-wind
berig be-rig
beroem be-roem
beroer be-roer
beroering be-roe-ring
beroof be-roof
berou be-rou
berus be-rus
berustend be-rus-tend
beryder be-ry-der
beryming be-ry-ming
besembosse be-sem-bos-se
beset be-set
besig be-sig
besit be-sit
besitting be-sit-ting
beskaam be-skaam
beskaamd be-skaamd
beskadu be-ska-du
beskenk be-skenk
beskerm be-skerm
beskermer be-sker-mer
beskerming be-sker-ming
beskiet be-skiet
beskik be-skik
beskikker be-skik-ker
