woord afkap
'k 'k
'n 'n
's 's
't 't
- -
– –
* *
** **
‘n ‘n
‘s ‘s
“die “die
“kom “kom
“nou “nou
<U+2040>en <U+2040>en
aan aan
aanbegin aan-be-gin
aanbid aan-bid
aanbidding aan-bid-ding
aanblaas aan-blaas
aangebreek aan-ge-breek
aangegord aan-ge-gord
aangekleef aan-ge-kleef
aangeneem aan-ge-neem
aangesig aan-ge-sig
aanhef aan-hef
aanhou aan-hou
aanklop aan-klop
aankom aan-kom
aanloop aan-loop
aanroep aan-roep
aansien aan-sien
aansit aan-sit
aanskou aan-skou
aanskyn aan-skyn
aanswel aan-swel
aanswellend aan-swel-lend
aanvaar aan-vaar
aarde aarde
aarde<U+2040>en aarde<U+2040>en
aarde<U+2040>in aarde<U+2040>in
aarde<U+2040>uit aarde<U+2040>uit
aardse aard-se
aardse<U+2040>en aardse<U+2040>en
aartsverleidster aarts-ver-leidster
abraham abra-ham
af af
afgesloofde af-ge-sloof-de
afgeweer af-ge-weer
afglans af-glans
afgrond af-grond
afgunstig af-guns-tig
ag ag
agter ag-ter
al al
ál ál
alfa al-fa
algemene al-ge-me-ne
alle al-le
alle<U+2040>aardse al-le<U+2040>aard-se
alle<U+2040>onreinighede al-le<U+2040>on-rei-nig-he-de
alleen al-leen
allerskoonste al-lerskoon-ste
alles al-les
almag al-mag
almagsterk al-mag-sterk
almagswoord al-mags-woord
almagtig almag-tig
almagtige almag-ti-ge
almal al-mal
alomteenwoordig alom-teen-woor-dig
also also
altaarvlam al-taar-vlam
altyd al-tyd
altyd-nuwe al-tyd-nuwe
altyddeur al-tyd-deur
amen amen
amp amp
angs angs
angste ang-ste
antwoord ant-woord
arbeid ar-beid
arbeidsloon ar-beidsloon
arm arm
armoed ar-moed
arrems ar-rems
as as
asem asem
baan baan
baie baie
band band
bande<U+2040>en ban-de<U+2040>en
bang bang
bange ban-ge
bare ba-re
barmhartig barm-har-tig
barmhartige<U+2040>en barm-har-ti-ge<U+2040>en
barmhartighede barm-har-tig-he-de
barmhartigheid barm-har-tig-heid
bedagsaamheid be-dag-saam-heid
bede be-de
bedek be-dek
bedruktes be-druk-tes
bedrywe be-dry-we
bee bee
beef beef
beeld beeld
beelde beel-de
beeste bees-te
begaan be-gaan
begeer be-geer
begeerte be-geer-te
begin be-gin
begrawe be-gra-we
begryp be-gryp
behaag be-haag
behartig be-har-tig
beheer be-heer
behoed be-hoed
behoort be-hoort
behou be-hou
behoudenis be-hou-de-nis
beide bei-de
bekend be-kend
bekering be-ke-ring
beklee be-klee
bekleed be-kleed
bekragtig be-krag-tig
bekroon be-kroon
belang be-lang
belas be-las
belaster be-las-ter
belewe be-le-we
belofte be-lof-te
beloftenis be-lof-te-nis
beloftes be-lof-tes
beloning be-lo-ning
beloof be-loof
bely be-ly
benee be-nee
benoudheid be-noud-heid
beoefen be-oefen
beproewingsvuur be-proe-wings-vuur
berei be-rei
bereid be-reid
berg berg
berge ber-ge
beroem be-roem
berou be-rou
berug be-rug
besing be-sing
besit be-sit
beskerm be-skerm
beskerming be-sker-ming
beskikker be-skik-ker
beslis be-slis
besluit be-sluit
besoedel be-soe-del
besoeking be-soe-king
besorgd be-sorgd
besorgdheid be-sorgd-heid
bestaan be-staan
beste be-s-te
bestem be-stem
bestendig be-sten-dig
bestraal be-straal
bestraf be-straf
bestry be-stry
bestryk be-stryk
beteken be-te-ken
betlehem bet-le-hem
betoon be-toon
betree be-tree
betuig be-tuig
beveel be-veel
beveilig be-vei-lig
bevestig be-ves-tig
bevrees be-vrees
bevry be-vry
bevryding be-vry-ding
bevrydingswoord be-vry-dings-woord
bewaak be-waak
bewaar be-waar
bewaarder be-waar-der
bewaker be-wa-ker
bewe be-we
bewerk be-werk
bewoë be-woë
bewoners be-wo-ners
bewoon be-woon
bewys be-wys
bid bid
biddend bid-dend
bidgesug bid-ge-sug
bied bied
billik bil-lik
binnegaan bin-ne-gaan
binnekom bin-ne-kom
blaas blaas
blad blad
blanke blan-ke
bliksems blik-sems
blind blind
blinde blin-de
blink blink
blinkend blin-kend
bloed bloed
bloed” bloed-”
bloedplas bloed-plas
bloei bloei
blom blom
bloot bloot
blou blou
bloue bloue
bly bly
blydskap blyd-skap
blye blye
blye<U+2040>en blye<U+2040>en
blyk blyk
bo bo
bo-menslik bo-mens-lik
bo<U+2040>'n bo<U+2040>'n
boei boei
boeie boeie
boek boek
boeke boe-ke
bondig bon-dig
bondsark bondsark
bondsbestel bonds-bestel
bondsvolk bonds-volk
boodskap bood-skap
boodskapper bood-skap-per
boog boog
bors bors
borsharnas bors-har-nas
bose bo-se
bose<U+2040>as bo-se<U+2040>as
bot bot
bou bou
bouheer-kunstenaar bou-heer-kunste-naar
boustof bou-stof
bowe bo-we
brand brand
brandend-droë bran-dend-droë
brandpyl brand-pyl
breedte<U+2040>en breed-te<U+2040>en
breek breek
bring bring
bron bron
brood brood
bruid bruid
bruidskerk bruidskerk
bruidstyd bruids-tyd
bruilofsmaal brui-lofs-maal
bruilofsprag brui-lofs-prag
bruisend brui-send
bruising brui-sing
brul brul
buig buig
buit buit
buite bui-te
buiten bui-ten
bulte bul-te
by by
christelike chris-te-li-ke
christen chris-ten
christenland chris-ten-land
christus christus
d' d'
daad daad
daag daag
daal daal
daar daar
dáár dáár
daaraan daar-aan
daarby daar-by
daardie daardie
daargestel daar-ge-stel
daarheen daar-heen
daarin daar-in
daarmee daar-mee
daarom daar-om
daaromheen daar-om-heen
daaronder daar-on-der
daaroor daar-oor
daarop daar-op
dáártoe dáártoe
